03-21-17-15-29-11	MouseMoveD	143.0296	1302.773	1259.262	675.7539
03-21-17-15-29-12	MouseMoveS	0	1303.09	1231.402	672.6211
03-21-17-15-29-12	MouseDown	0	1303.24	1231.402	672.6211
03-21-17-15-29-12	MouseUp	0	1303.323	1231.402	672.6211
03-21-17-15-29-12	MouseMoveD	137.9622	1303.54	1369.266	677.8438
03-21-17-15-29-12	MouseMoveV	-0.9787188	1303.54	1369.266	677.8438
03-21-17-15-29-12	RevealGridColorMask	1	1303.79	1522.457	664.2617
03-21-17-15-29-12	RevealGridColorMask	1	1303.79	1522.457	664.2617
03-21-17-15-29-12	RevealGridColorMask	1	1303.79	1522.457	664.2617
03-21-17-15-29-13	HideGridColorMask		1303.956	1518.32	638.4922
03-21-17-15-29-13	HideGridColorMask		1303.956	1518.32	638.4922
03-21-17-15-29-13	HideGridColorMask		1303.956	1518.32	638.4922
03-21-17-15-29-13	MouseMoveV	-0.7903737	1303.99	1514.488	635.707
03-21-17-15-29-13	MouseDown	0	1304.106	1512.445	635.707
03-21-17-15-29-13	hint	Button 	1304.173	1510.75	635.707
03-21-17-15-29-13	MouseUp	0	1304.173	1510.75	635.707
03-21-17-15-29-13	MouseMoveS	0	1304.54	1497.211	635.707
03-21-17-15-29-14	MouseMoveD	149.3509	1305.756	1314.859	645.1094
03-21-17-15-29-15	MouseMoveV	-0.9108915	1306.106	1221.965	637.0977
03-21-17-15-29-15	MouseDown	0	1306.24	1226.098	643.6719
03-21-17-15-29-15	MouseMoveS	0	1306.323	1226.098	643.6719
03-21-17-15-29-15	MouseUp	0	1306.374	1226.098	643.6719
03-21-17-15-29-15	MouseMoveV	0.5322128	1306.74	1231.277	643.6719
03-21-17-15-29-15	MouseMoveD	136.5683	1306.856	1367.445	633.2227
03-21-17-15-29-16	MouseMoveS	0	1307.274	1501.133	577.5898
03-21-17-15-29-16	MouseMoveV	-0.9762068	1307.489	1496.301	581.7695
03-21-17-15-29-16	MouseMoveS	0	1307.69	1490.73	593.1719
03-21-17-15-29-16	MouseMoveV	-0.8985139	1307.806	1490.73	589.082
03-21-17-15-29-17	MouseMoveS	0	1308.24	1489.684	560.5703
03-21-17-15-29-18	MouseMoveS	0	1309.24	1489.684	556.5703
03-21-17-15-29-18	MouseMoveS	0	1309.789	1489.684	552.5703
03-21-17-15-29-19	MouseMoveS	0	1309.99	1489.684	551.5703
03-21-17-15-29-21	MouseDown	0	1312.239	1492.953	432.9492
03-21-17-15-29-21	hint	Unlimited Conditional Packages	1312.39	1492.258	431.9492
03-21-17-15-29-21	MouseUp	0	1312.39	1492.258	431.9492
03-21-17-15-29-21	MouseMoveS	0	1312.456	1492.258	431.9492
03-21-17-15-29-22	MouseMoveV	-0.4838566	1312.99	1480.113	445.4883
03-21-17-15-29-22	MouseMoveD	188.6886	1313.106	1329.664	559.3672
03-21-17-15-29-22	MouseMoveS	0	1313.556	1278.125	621.0078
03-21-17-15-29-23	MouseMoveS	0	1314.523	1274.383	643.5898
03-21-17-15-29-24	MouseMoveS	0	1315.739	1259.508	656.4648
03-21-17-15-29-25	MouseDown	0	1316.823	1259.508	656.4648
03-21-17-15-29-26	MouseUp	0	1316.956	1259.508	656.4648
03-21-17-15-29-27	MouseMoveV	-0.9546196	1318.356	1269.863	645.0195
03-21-17-15-29-27	MouseMoveV	0.4686772	1318.589	1285.188	627.9531
03-21-17-15-29-27	MouseMoveS	0	1318.689	1285.188	627.9531
03-21-17-15-29-27	MouseMoveV	-1	1318.806	1284.188	627.9531
03-21-17-15-29-28	MouseMoveD	229.0598	1319.039	1067.223	415.5195
03-21-17-15-29-28	MouseMoveD	150.9138	1319.139	929.3164	354.2266
03-21-17-15-29-28	MouseMoveD	110.3494	1319.239	964.8359	458.7031
03-21-17-15-29-28	MouseMoveV	-0.6786693	1319.239	964.8359	458.7031
03-21-17-15-29-28	MouseMoveD	141.9403	1319.356	1035.184	581.9844
03-21-17-15-29-28	OnMouseComponent	thread/1001	1319.656	1043.723	610.4883
03-21-17-15-29-28	OutMouseComponent	thread/1001	1319.889	1008.199	554.8086
03-21-17-15-29-29	MouseMoveV	-0.9721266	1319.906	1008.199	554.8086
03-21-17-15-29-29	MouseMoveD	532.0851	1320.023	696.8594	123.3203
03-21-17-15-29-29	MouseMoveS	0	1320.672	615.457	139.3398
03-21-17-15-29-29	OnMouseComponent	pickup/2001	1320.773	630.082	152.8789
03-21-17-15-29-29	OutMouseComponent	pickup/2001	1320.806	661.7734	175.8633
03-21-17-15-29-29	MouseMoveD	141.6999	1320.873	747.4453	232.2813
03-21-17-15-29-30	MouseMoveD	219.8155	1320.989	956.0508	301.582
03-21-17-15-29-30	MouseMoveD	337.6938	1321.089	1293.512	314.1211
03-21-17-15-29-30	MouseMoveS	0	1321.189	1293.512	314.1211
03-21-17-15-29-30	MouseMoveD	101.5105	1321.407	1390.531	343.9805
03-21-17-15-29-31	MouseMoveS	0	1322.406	1471.887	366.832
03-21-17-15-29-31	MouseMoveD	128.1028	1322.523	1490.348	240.0664
03-21-17-15-29-31	MouseMoveV	0.1441103	1322.523	1490.348	240.0664
03-21-17-15-29-31	MouseMoveV	-0.9994081	1322.756	1492.434	187.4688
03-21-17-15-29-32	MouseMoveS	0	1323.523	1493.434	336.0742
03-21-17-15-29-32	MouseMoveS	0	1323.839	1492.391	338.1211
03-21-17-15-29-33	MouseMoveV	-0.9984202	1324.739	1487.258	272.0742
03-21-17-15-29-34	MouseMoveS	0	1325.073	1480.988	187.4492
03-21-17-15-29-34	MouseDown	0	1325.172	1479.988	190.5391
03-21-17-15-29-34	MouseMoveV	-0.7137897	1325.189	1479.988	190.5391
03-21-17-15-29-34	hint	Symbol Specific Delivery Points	1325.273	1479.988	190.5391
03-21-17-15-29-34	MouseUp	0	1325.273	1479.988	190.5391
03-21-17-15-29-34	MouseMoveS	0	1325.306	1479.988	190.5391
03-21-17-15-29-35	MouseMoveD	444.2361	1326.073	1184.316	599.6523
03-21-17-15-29-35	MouseMoveS	0	1326.189	1184.316	599.6523
03-21-17-15-29-35	MouseMoveD	106.3432	1326.606	1082.977	773.7773
03-21-17-15-29-35	MouseMoveV	-0.7527722	1326.823	1151.145	724.0234
03-21-17-15-29-36	MouseMoveS	0	1327.256	1214.133	673.1797
03-21-17-15-29-36	MouseDown	0	1327.606	1214.133	673.1797
03-21-17-15-29-36	MouseUp	0	1327.789	1214.133	673.1797
03-21-17-15-29-37	MouseMoveD	139.2338	1328.489	1127.07	564.5234
